,track_uri,artist_uri,genres
0,2kMflL8jH2U1UaEhS6W25z,2e0Bkreg0zzfE5umvfKQXf,"['alternative r&b', 'indie r&b', 'uk contemporary r&b']"
1,4E08gEca6avoGx5SS4MM6T,5zctI4wO9XSKS8XwcnqEHk,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
2,6toQdWWc4noiOk3Eo5mVDS,3Y2MLcrD3ZQXRXmtn4fZQx,"['florida rap', 'viral rap']"
3,4MdraTedPRjTzFhXKPvnfb,6lOaHNmL3l3hKDGNf0egfs,['detroit trap']
4,1S1dOc3yIPNt4sNxhlOghf,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
5,4S2uhQE8L9V6p7rj7SiauJ,1cNDP5yjU5vjeR8qMf4grg,"['melodic rap', 'trap']"
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,"['afrofuturism', 'alternative r&b', 'dance pop', 'escape room', 'hip pop', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
7,0SsTkfOhM7e87trwjEqBQN,4r63FhuTkUYltbVAg5TQnk,"['north carolina hip hop', 'rap', 'trap']"
8,2gwkD6igEhQbDQegRCcdoB,4r63FhuTkUYltbVAg5TQnk,"['north carolina hip hop', 'rap', 'trap']"
9,30sc425JEvj3tgmGAKORea,699OTQXzgjhIYAHMy9RyPD,"['atl hip hop', 'plugg', 'pluggnb', 'rap', 'trap']"
10,27a1mYSG5tYg7dmEjWBcmL,0Y5tJX1MQlPlqiwlOH1tJY,"['hip hop', 'rap', 'slap house']"
11,7eBqSVxrzQZtK2mmgRG6lC,1cNDP5yjU5vjeR8qMf4grg,"['melodic rap', 'trap']"
12,6cF39bo8KFmLbsSdP0qoJa,6Xgp2XMz1fhVYe7i6yNAax,"['melodic rap', 'rap', 'trap']"
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
14,4IeK8Rgs7UKe3FzZyJmPbH,4tYSBptyGeVyZsk8JC4JHZ,"['cali rap', 'trap', 'underground hip hop', 'vapor trap']"
15,4OBZT9EnhYIV17t4pGw7ig,3Y7RZ31TRPVadSFVy1o8os,"['alternative r&b', 'dance pop', 'pop', 'r&b']"
16,1SF8piqsZWn86DajVKih8F,7wlFDEWiM5OoIAt8RSli8b,"['baton rouge rap', 'trap']"
17,2f4JX22w2nB1lb4dOMUEwe,6TLwD7HPWuiOzvXEa3oCNe,['alternative hip hop']
18,3AydAydLzyyZutA0375XIz,5BvJzeQpmsdsFp4HGUYUEx,"['baroque pop', 'indie rock', 'modern rock']"
19,1o5jdqnWybW9Mau4GDWPMa,50co4Is1HCEo8bhOyUWKpn,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
20,1qgGitQYJs68OQbfL5kQ4W,4FlG0V0jhLO4qGpayFOphj,"['kentucky hip hop', 'rap', 'southern hip hop', 'trap']"
21,1EaKU4dMbesXXd3BrLCtYG,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
22,71jzSTkT0F0w1v4moZIDyc,1ZwdS5xdxEREPySFridCfh,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
23,4tMZoPR9v4kvICAPyknxpa,6xS5PpBWaVYraexEkEjjXv,"['hip hop', 'houston rap', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
24,7MjSipTto9QljYzZnloXOn,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
25,0zNHMc1cGKe4MO5rtGtKRh,50co4Is1HCEo8bhOyUWKpn,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
26,5rvnBFgJFyZgMJbwQTyBeF,3Fl1V19tmjt57oBdxXKAjJ,"['cali rap', 'trap']"
27,6JvHYmanlC8FdbeiCztcrR,7c0XG5cIJTrrAgEC3ULPiq,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
28,2QUVk7QscEdZiHi7zs4ycM,35sCXuy5gN6Or69rZ9vqBs,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
29,0OyQns5ayNK2OVaES0Vb8t,4MCBfE4596Uoi2O4DtmEMz,"['chicago rap', 'melodic rap']"
30,4wBcaYqLPm7EtDVoJQORU4,4O15NlyKLIASxsJ0PrXPfz,"['melodic rap', 'philly rap', 'rap', 'trap']"
