,track_uri,artist_uri,genres
0,2kMflL8jH2U1UaEhS6W25z,2e0Bkreg0zzfE5umvfKQXf,alternative r&b
0,2kMflL8jH2U1UaEhS6W25z,2e0Bkreg0zzfE5umvfKQXf,indie r&b
0,2kMflL8jH2U1UaEhS6W25z,2e0Bkreg0zzfE5umvfKQXf,uk contemporary r&b
1,4E08gEca6avoGx5SS4MM6T,5zctI4wO9XSKS8XwcnqEHk,melodic rap
1,4E08gEca6avoGx5SS4MM6T,5zctI4wO9XSKS8XwcnqEHk,rap
1,4E08gEca6avoGx5SS4MM6T,5zctI4wO9XSKS8XwcnqEHk,rap conscient
1,4E08gEca6avoGx5SS4MM6T,5zctI4wO9XSKS8XwcnqEHk,trap
1,4E08gEca6avoGx5SS4MM6T,5zctI4wO9XSKS8XwcnqEHk,vapor trap
2,6toQdWWc4noiOk3Eo5mVDS,3Y2MLcrD3ZQXRXmtn4fZQx,florida rap
2,6toQdWWc4noiOk3Eo5mVDS,3Y2MLcrD3ZQXRXmtn4fZQx,viral rap
3,4MdraTedPRjTzFhXKPvnfb,6lOaHNmL3l3hKDGNf0egfs,detroit trap
4,1S1dOc3yIPNt4sNxhlOghf,6oMuImdp5ZcFhWP0ESe6mG,atl hip hop
4,1S1dOc3yIPNt4sNxhlOghf,6oMuImdp5ZcFhWP0ESe6mG,hip hop
4,1S1dOc3yIPNt4sNxhlOghf,6oMuImdp5ZcFhWP0ESe6mG,pop rap
4,1S1dOc3yIPNt4sNxhlOghf,6oMuImdp5ZcFhWP0ESe6mG,rap
4,1S1dOc3yIPNt4sNxhlOghf,6oMuImdp5ZcFhWP0ESe6mG,trap
5,4S2uhQE8L9V6p7rj7SiauJ,1cNDP5yjU5vjeR8qMf4grg,melodic rap
5,4S2uhQE8L9V6p7rj7SiauJ,1cNDP5yjU5vjeR8qMf4grg,trap
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,afrofuturism
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,alternative r&b
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,dance pop
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,escape room
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,hip pop
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,indie soul
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,neo soul
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,pop
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,r&b
6,6IAgarq2wDeYzpsY2Kx0Hw,2auiVi8sUZo17dLy1HwrTU,urban contemporary
7,0SsTkfOhM7e87trwjEqBQN,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop
7,0SsTkfOhM7e87trwjEqBQN,4r63FhuTkUYltbVAg5TQnk,rap
7,0SsTkfOhM7e87trwjEqBQN,4r63FhuTkUYltbVAg5TQnk,trap
8,2gwkD6igEhQbDQegRCcdoB,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop
8,2gwkD6igEhQbDQegRCcdoB,4r63FhuTkUYltbVAg5TQnk,rap
8,2gwkD6igEhQbDQegRCcdoB,4r63FhuTkUYltbVAg5TQnk,trap
9,30sc425JEvj3tgmGAKORea,699OTQXzgjhIYAHMy9RyPD,atl hip hop
9,30sc425JEvj3tgmGAKORea,699OTQXzgjhIYAHMy9RyPD,plugg
9,30sc425JEvj3tgmGAKORea,699OTQXzgjhIYAHMy9RyPD,pluggnb
9,30sc425JEvj3tgmGAKORea,699OTQXzgjhIYAHMy9RyPD,rap
9,30sc425JEvj3tgmGAKORea,699OTQXzgjhIYAHMy9RyPD,trap
10,27a1mYSG5tYg7dmEjWBcmL,0Y5tJX1MQlPlqiwlOH1tJY,rap
10,27a1mYSG5tYg7dmEjWBcmL,0Y5tJX1MQlPlqiwlOH1tJY,slap house
11,7eBqSVxrzQZtK2mmgRG6lC,1cNDP5yjU5vjeR8qMf4grg,melodic rap
11,7eBqSVxrzQZtK2mmgRG6lC,1cNDP5yjU5vjeR8qMf4grg,trap
12,6cF39bo8KFmLbsSdP0qoJa,6Xgp2XMz1fhVYe7i6yNAax,melodic rap
12,6cF39bo8KFmLbsSdP0qoJa,6Xgp2XMz1fhVYe7i6yNAax,rap
12,6cF39bo8KFmLbsSdP0qoJa,6Xgp2XMz1fhVYe7i6yNAax,trap
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,atl hip hop
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,dirty south rap
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,gangster rap
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,hip hop
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,pop rap
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,rap
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,southern hip hop
13,78YfV5PBiKt46V7RY2Tnqi,13y7CgLHjMVRMDqxdx0Xdo,trap
14,4IeK8Rgs7UKe3FzZyJmPbH,4tYSBptyGeVyZsk8JC4JHZ,cali rap
14,4IeK8Rgs7UKe3FzZyJmPbH,4tYSBptyGeVyZsk8JC4JHZ,trap
14,4IeK8Rgs7UKe3FzZyJmPbH,4tYSBptyGeVyZsk8JC4JHZ,underground hip hop
14,4IeK8Rgs7UKe3FzZyJmPbH,4tYSBptyGeVyZsk8JC4JHZ,vapor trap
15,4OBZT9EnhYIV17t4pGw7ig,3Y7RZ31TRPVadSFVy1o8os,alternative r&b
15,4OBZT9EnhYIV17t4pGw7ig,3Y7RZ31TRPVadSFVy1o8os,dance pop
