,endTime,artistName,trackName,msPlayed,UniqueID,album,track_uri
0,2021-01-09 01:21,Playboi Carti,JumpOutTheHouse,132800,Playboi Carti:JumpOutTheHouse,,
1,2021-01-09 01:26,Playboi Carti,JumpOutTheHouse,325432,Playboi Carti:JumpOutTheHouse,,
2,2021-01-09 01:29,Playboi Carti,M3tamorphosis (feat. Kid Cudi),150021,Playboi Carti:M3tamorphosis (feat. Kid Cudi),Whole Lotta Red,7zLMYtNJcabv4h4wBnjNQI
3,2021-01-09 01:41,Playboi Carti,JumpOutTheHouse,136297,Playboi Carti:JumpOutTheHouse,,
4,2021-01-09 01:45,Playboi Carti,JumpOutTheHouse,16171,Playboi Carti:JumpOutTheHouse,,
5,2021-01-09 01:50,Playboi Carti,M3tamorphosis (feat. Kid Cudi),312256,Playboi Carti:M3tamorphosis (feat. Kid Cudi),Whole Lotta Red,7zLMYtNJcabv4h4wBnjNQI
6,2021-01-09 01:52,Playboi Carti,Slay3r,164590,Playboi Carti:Slay3r,,
7,2021-01-09 01:54,Playboi Carti,No Sl33p,88547,Playboi Carti:No Sl33p,Whole Lotta Red,6i6whmV36EJmxs5zFahMrb
8,2021-01-09 01:55,Playboi Carti,New Tank,89741,Playboi Carti:New Tank,Whole Lotta Red,4txKMpsSfZRV6durPuHVq0
9,2021-01-09 01:57,Playboi Carti,Teen X (feat. Future),18937,Playboi Carti:Teen X (feat. Future),Whole Lotta Red,5uYqmEN6TAAE8ss8YmprNV
10,2021-01-09 01:57,Playboi Carti,Teen X (feat. Future),106833,Playboi Carti:Teen X (feat. Future),Whole Lotta Red,5uYqmEN6TAAE8ss8YmprNV
11,2021-01-09 01:59,NAV,No Debate (feat. Young Thug),127948,NAV:No Debate (feat. Young Thug),Good Intentions,29eSqQBrdva2tPLYMneFzP
12,2021-01-09 02:01,Trippie Redd,The Grinch,91204,Trippie Redd:The Grinch,,
13,2021-01-09 02:05,21 Savage,Glock In My Lap,438,21 Savage:Glock In My Lap,,
14,2021-01-09 02:05,Trippie Redd,YELL OH,236698,Trippie Redd:YELL OH,,
